SPECIES	BARK_VOL_PCT	WOOD_SPGR	BARK_SPGR	MC_WOOD	MC_BARK
125	16.00	0.41	0.27	64.17	89.92
126	13.40	0.47	0.34	70.48	88.52
127	22.00	0.40	0.40	80.30	60.25
128	13.40	0.51	0.33	60.25	94.24
129	16.00	0.34	0.47	64.97	70.48
130	16.13	0.43	0.40	76.13	68.38
131	16.60	0.47	0.33	80.72	99.12
132	13.40	0.45	0.54	78.06	89.92
133	16.13	0.43	0.40	76.13	68.38
134	16.13	0.43	0.40	76.13	68.38
135	16.13	0.43	0.40	76.13	68.38
136	16.13	0.43	0.40	76.13	68.38
137	16.13	0.43	0.40	76.13	68.38
138	16.13	0.43	0.40	76.13	68.38
139	16.13	0.43	0.40	76.13	68.38
140	16.13	0.43	0.40	76.13	68.38
141	16.13	0.43	0.40	76.13	68.38
142	16.13	0.43	0.40	76.13	68.38
143	16.13	0.43	0.40	76.13	68.38
144	16.13	0.43	0.40	76.13	68.38
200	17.34	0.45	0.44	35.00	89.00
201	17.34	0.45	0.44	35.00	89.00
202	17.30	0.45	0.44	35.33	89.38
211	18.00	0.36	0.43	122.58	15.53
212	18.00	0.34	0.34	178.08	17.82
220	20.00	0.42	0.50	95.00	99.00
221	20.00	0.42	0.50	94.59	98.72
222	20.00	0.42	0.50	95.00	99.00
223	20.00	0.42	0.50	95.00	99.00
230	4.00	0.60	0.59	47.00	98.00
231	4.00	0.60	0.59	46.90	98.28
232	4.00	0.60	0.59	47.00	98.00
240	12.47	0.30	0.40	69.50	73.50
241	14.00	0.29	0.42	98.93	90.78
242	10.60	0.31	0.37	39.58	55.91
250	14.31	0.41	0.42	74.29	70.50
251	14.31	0.41	0.42	74.29	70.50
252	14.31	0.41	0.42	74.29	70.50
260	16.18	0.41	0.46	78.33	97.67
261	17.00	0.38	0.46	110.86	98.58
262	16.18	0.41	0.46	78.33	97.67
263	15.80	0.42	0.50	56.45	101.92
264	15.80	0.42	0.41	67.88	91.53
299	14.31	0.41	0.42	74.29	70.50
300	15.16	0.52	0.53	75.13	80.49
303	15.16	0.52	0.53	75.13	80.49
304	15.16	0.52	0.53	75.13	80.49
310	10.88	0.47	0.53	70.29	90.57
311	10.88	0.47	0.53	70.29	90.57
312	10.00	0.44	0.48	71.18	113.66
313	8.60	0.42	0.50	90.78	92.30
314	15.60	0.52	0.54	69.50	89.92
315	8.60	0.44	0.50	71.18	89.10
316	8.60	0.49	0.60	63.53	78.95
317	8.60	0.44	0.57	67.54	79.92
318	15.60	0.56	0.54	57.39	89.92
319	10.88	0.47	0.53	70.29	90.57
320	10.88	0.47	0.53	70.29	90.57
321	10.88	0.47	0.53	70.29	90.57
322	10.88	0.47	0.53	70.29	90.57
323	10.88	0.47	0.53	70.29	90.57
330	15.00	0.33	0.50	143.00	89.00
331	15.00	0.33	0.50	143.00	89.00
332	15.00	0.33	0.50	142.81	89.10
333	15.00	0.33	0.50	143.00	89.00
334	15.00	0.33	0.50	143.00	89.00
336	15.00	0.33	0.50	143.00	89.00
337	15.00	0.33	0.50	143.00	89.00
341	15.00	0.46	0.45	74.19	78.06
345	15.16	0.52	0.53	75.13	80.49
421	15.00	0.40	0.50	120.35	89.10
422	15.00	0.40	0.50	120.00	89.00
423	15.00	0.40	0.50	120.00	89.00
424	15.00	0.40	0.50	120.00	89.00
431	12.00	0.42	0.42	132.76	90.78
450	15.00	0.38	0.50	73.00	89.00
451	15.00	0.38	0.50	73.00	89.00
452	15.00	0.38	0.50	72.92	89.10
460	15.00	0.49	0.49	64.00	90.00
461	15.00	0.49	0.49	64.00	90.00
350	11.49	0.37	0.56	99.00	75.00
351	12.00	0.37	0.56	99.24	74.57
352	11.49	0.37	0.56	99.00	75.00
353	11.49	0.37	0.56	99.00	75.00
355	11.49	0.37	0.56	99.00	75.00
356	8.60	0.66	0.50	48.12	60.26
357	8.62	0.66	0.50	48.00	60.00
358	8.62	0.66	0.50	48.00	60.00
360	15.00	0.58	0.60	66.00	60.00
361	15.00	0.58	0.60	65.77	60.25
362	15.00	0.58	0.60	66.00	60.00
363	15.00	0.58	0.60	66.00	60.00
367	15.16	0.52	0.53	75.13	80.49
370	10.98	0.51	0.58	73.80	54.80
371	9.80	0.55	0.62	71.90	60.25
372	9.80	0.60	0.62	73.00	52.50
373	9.80	0.49	0.55	86.42	45.69
